LAMMPS data file via write_data, version 12 Apr 2013, timestep = 1

1737 atoms
5 atom types

0 17.324 xlo xhi
0 39.708 ylo yhi
0 33.947 zlo zhi

Masses

1 26.982
2 40.078
3 15.994
4 1.0079
5 12.011

Atoms

374 4 0.398055 2.73693 2.27273 5.47429 0 0 0
991 3 -0.703321 3.6173 3.82148 5.00559 0 0 0
1029 4 0.299093 3.11476 4.44655 5.45562 0 0 0
1031 4 0.426171 4.46296 3.93433 5.32646 0 0 0
433 4 0.414555 8.51075 2.27299 5.47434 0 0 0
1076 3 -0.711479 9.39788 3.82048 5.00528 0 0 0
1112 4 0.39976 8.89155 4.44512 5.45547 0 0 0
1114 4 0.345401 10.2354 3.9348 5.32679 0 0 0
313 4 0.39658 14.2858 2.27283 5.47436 0 0 0
907 3 -0.712435 15.1713 3.8217 5.00615 0 0 0
945 4 0.301966 14.6655 4.44597 5.45577 0 0 0
947 4 0.303321 16.0093 3.9351 5.32696 0 0 0
1324 3 -0.700925 0.749592 8.7365 5.00814 0 0 0
1352 4 0.385118 1.60225 8.81814 5.2368 0 0 0
1354 4 0.319586 0.570113 7.86035 5.26569 0 0 0
1416 4 0.403189 4.18914 7.19152 5.55073 0 0 0
1385 3 -0.706172 6.52646 8.73974 5.00761 0 0 0
1412 4 0.38686 7.37759 8.81898 5.23655 0 0 0
1414 4 0.407687 6.34416 7.85992 5.26634 0 0 0
1476 4 0.322262 9.96342 7.19174 5.55194 0 0 0
1357 4 0.311257 15.7373 7.19149 5.55221 0 0 0
1445 3 -0.705687 12.2996 8.73652 5.00812 0 0 0
1472 4 0.386563 13.1522 8.81814 5.23684 0 0 0
1474 4 0.319094 12.1201 7.86035 5.26569 0 0 0
1422 4 0.416369 2.74668 12.2 5.47429 0 0 0
1606 3 -0.710217 3.63291 13.7476 5.00529 0 0 0
1644 4 0.395761 3.12651 14.3721 5.45549 0 0 0
1646 4 0.336729 4.47035 13.8617 5.32679 0 0 0
