# DFF generated LAMMPS data file

1728 atoms
0 bonds
0 angles
0 dihedrals
0 impropers

2  atom types
0  bond types
0  angle types
0  dihedral types
0  improper types

      0.0000      28.8912   xlo xhi
      0.0000      28.8912   ylo yhi
     -0.0000      28.8912   zlo zhi

Masses

           1     40.0780   #   ca0+
           2     15.9994   #   o_

Atoms

          77          77           2     0.00000    16.85320     7.22280     2.40760	      #     O77
          78          78           2     0.00000    16.85320     4.81520    -0.00000	      #     O78
          79          79           2     0.00000    14.44560     7.22280    -0.00000	      #     O79
          80          80           2     0.00000    14.44560     4.81520     2.40760	      #     O80
          81          81           1     2.00000    19.26080     4.81520    -0.00000	      #     Ca81
          82          82           1     2.00000    19.26080     7.22280     2.40760	      #     Ca82
          83          83           1     2.00000    21.66840     4.81520     2.40760	      #     Ca83
          84          84           1     2.00000    21.66840     7.22280    -0.00000	      #     Ca84
          85          85           2     0.00000    21.66840     7.22280     2.40760	      #     O85
          86          86           2     0.00000    21.66840     4.81520    -0.00000	      #     O86
          87          87           2     0.00000    19.26080     7.22280    -0.00000	      #     O87
          88          88           2     0.00000    19.26080     4.81520     2.40760	      #     O88
          89          89           1     2.00000    24.07600     4.81520    -0.00000	      #     Ca89
          90          90           1     2.00000    24.07600     7.22280     2.40760	      #     Ca90
          91          91           1     2.00000    26.48360     4.81520     2.40760	      #     Ca91
          92          92           1     2.00000    26.48360     7.22280    -0.00000	      #     Ca92
          93          93           2     0.00000    26.48360     7.22280     2.40760	      #     O93
          94          94           2     0.00000    26.48360     4.81520    -0.00000	      #     O94
          95          95           2     0.00000    24.07600     7.22280    -0.00000	      #     O95
          96          96           2     0.00000    24.07600     4.81520     2.40760	      #     O96
          97          97           1     2.00000     0.00000     9.63040    -0.00000	      #     Ca97
          98          98           1     2.00000     0.00000    12.03800     2.40760	      #     Ca98
          99          99           1     2.00000     2.40760     9.63040     2.40760	      #     Ca99
         100         100           1     2.00000     2.40760    12.03800    -0.00000	      #     Ca100
         101         101           2     0.00000     2.40760    12.03800     2.40760	      #     O101
         102         102           2     0.00000     2.40760     9.63040    -0.00000	      #     O102
         103         103           2     0.00000     0.00000    12.03800    -0.00000	      #     O103
         104         104           2     0.00000     0.00000     9.63040     2.40760	      #     O104
         105         105           1     2.00000     4.81520     9.63040    -0.00000	      #     Ca105
         106         106           1     2.00000     4.81520    12.03800     2.40760	      #     Ca106
         107         107           1     2.00000     7.22280     9.63040     2.40760	      #     Ca107
         108         108           1     2.00000     7.22280    12.03800    -0.00000	      #     Ca108
         109         109           2     0.00000     7.22280    12.03800     2.40760	      #     O109
         110         110           2     0.00000     7.22280     9.63040    -0.00000	      #     O110
         111         111           2     0.00000     4.81520    12.03800    -0.00000	      #     O111
         112         112           2     0.00000     4.81520     9.63040     2.40760	      #     O112
         113         113           1     2.00000     9.63040     9.63040    -0.00000	      #     Ca113
         114         114           1     2.00000     9.63040    12.03800     2.40760	      #     Ca114
         115         115           1     2.00000    12.03800     9.63040     2.40760	      #     Ca115
         116         116           1     2.00000    12.03800    12.03800    -0.00000	      #     Ca116
         117         117           2     0.00000    12.03800    12.03800     2.40760	      #     O117
         118         118           2     0.00000    12.03800     9.63040    -0.00000	      #     O118
         119         119           2     0.00000     9.63040    12.03800    -0.00000	      #     O119
         120         120           2     0.00000     9.63040     9.63040     2.40760	      #     O120
         121         121           1     2.00000    14.44560     9.63040    -0.00000	      #     Ca121
         122         122           1     2.00000    14.44560    12.03800     2.40760	      #     Ca122
         123         123           1     2.00000    16.85320     9.63040     2.40760	      #     Ca123
         124         124           1     2.00000    16.85320    12.03800    -0.00000	      #     Ca124
         125         125           2     0.00000    16.85320    12.03800     2.40760	      #     O125
         126         126           2     0.00000    16.85320     9.63040    -0.00000	      #     O126
         127         127           2     0.00000    14.44560    12.03800    -0.00000	      #     O127
         128         128           2     0.00000    14.44560     9.63040     2.40760	      #     O128
         129         129           1     2.00000    19.26080     9.63040    -0.00000	      #     Ca129
         130         130           1     2.00000    19.26080    12.03800     2.40760	      #     Ca130
         131         131           1     2.00000    21.66840     9.63040     2.40760	      #     Ca131
         132         132           1     2.00000    21.66840    12.03800    -0.00000	      #     Ca132
         133         133           2     0.00000    21.66840    12.03800     2.40760	      #     O133
         134         134           2     0.00000    21.66840     9.63040    -0.00000	      #     O134
         135         135           2     0.00000    19.26080    12.03800    -0.00000	      #     O135
         136         136           2     0.00000    19.26080     9.63040     2.40760	      #     O136
         137         137           1     2.00000    24.07600     9.63040    -0.00000	      #     Ca137
         138         138           1     2.00000    24.07600    12.03800     2.40760	      #     Ca138
         139         139           1     2.00000    26.48360     9.63040     2.40760	      #     Ca139
         140         140           1     2.00000    26.48360    12.03800    -0.00000	      #     Ca140
         141         141           2     0.00000    26.48360    12.03800     2.40760	      #     O141
         142         142           2     0.00000    26.48360     9.63040    -0.00000	      #     O142
         143         143           2     0.00000    24.07600    12.03800    -0.00000	      #     O143
         144         144           2     0.00000    24.07600     9.63040     2.40760	      #     O144
         145         145           1     2.00000     0.00000    14.44560    -0.00000	      #     Ca145
         146         146           1     2.00000     0.00000    16.85320     2.40760	      #     Ca146
         147         147           1     2.00000     2.40760    14.44560     2.40760	      #     Ca147
         148         148           1     2.00000     2.40760    16.85320    -0.00000	      #     Ca148
