    #         X           Y           Z        CHARGE     MIN DIST    ATOMIC VOL
 --------------------------------------------------------------------------------
   84      3.6099      0.4560     22.0337      7.9711      0.7968     28.4752
   85      0.1543      6.3051     25.2518      7.7154      0.7080     26.4818
   86      8.3750      6.6623     20.5284      8.0229      1.0736     26.1469
   87      7.1662      1.8378     24.4553      7.8591      0.7431     25.2564
   88      7.9562     10.1077     18.3426      8.0182      0.8482     25.5709
   89      8.6696      7.7855     18.0341      7.7301      0.6848     24.6151
   90      1.1333      9.3766     14.5820      7.9764      0.9554     50.2023
   91      9.7889      3.3962     17.1202      7.7047      0.8239     23.5857
   92      7.9858      1.5554     20.3299      7.3653      0.5724     25.1338
   93      0.7626      8.7497     25.4049      7.7740      0.8367     23.5326
   94      0.7417      6.7531     18.4302      7.9744      0.8190     25.1624
   95      7.4538      4.6869     25.6469      7.7775      0.7488     24.9990
   96      6.3136      5.5320     14.7925      8.0074      0.9781     36.2445
   97      2.9380      2.9580     15.1272      7.8043      0.7472     36.3262
   98      2.8751      2.3755     25.7912      7.9758      0.9608     25.7956
   99      7.7424      4.7486     13.9219      0.0000      0.0000      0.0000
  100      7.8733      4.3015     12.4977      0.1059      0.0483    563.3236
  101      3.4627      7.6923     21.1448      0.2068      0.0629      1.3194
  102      4.7920      8.1689     20.1436      0.3021      0.0266      1.4011
  103      3.8401      9.6408     25.0857      0.1627      0.0649      1.1968
  104      2.2227      9.5632     24.8977      0.0000      0.0000      0.0000
  105      7.2082      7.0428     15.2175      0.2049      0.0279      1.3970
  106      7.4696      8.5226     14.8906      0.0011      1.7348      3.2025
  107      8.3800      9.8928     26.0773      0.0000      0.0000      0.0000
  108      9.5934      9.5000     25.1565      0.0000      0.0000      0.0000
  109      2.3632      3.2310     21.2738      0.1477      0.0495      0.8251
  110      3.4911      4.2143     21.5832      0.0000      0.0000      0.0000
  111      3.3844      1.0132     15.1554      0.2096      0.0761      1.6870
  112      2.7104      9.8938     14.8616      0.3295      0.0226      5.9434
  113      3.6649      4.5874     14.2640      0.1848      0.0528     19.7623
  114      3.1625      6.0722     14.6228      0.0006      1.8908      1.6625
  115      2.4009      0.9623     21.4454      0.3013      0.0077      1.2418
  116      0.9861      1.6265     21.6495      0.3155      0.0635      2.3651
  117      6.3693      4.3357     17.6192      0.3182      0.0370      2.0506
  118      6.6680      2.8908     17.0376      0.0000      0.0000      0.0000
  119      3.5614      9.8812     16.9963      0.0000      0.0000      0.0000
  120      2.7411      9.5460     18.2970      0.0000      0.0000      0.0000
  121      1.7177      6.6716     16.6324      0.0000      0.0000      0.0000
  122      1.5420      7.7252     15.4969      0.2075      0.0828      1.4174
  123      5.2407      1.5233     21.9090      0.2747      0.0819      2.3733
  124      6.3794      2.0821     22.9085      0.2706      0.0315      1.6789
  125      9.2135      0.8361     21.8721      0.0000      0.0000      0.0000
  126      9.2957      0.2599     23.2665      0.0000      0.0000      0.0000
  127      4.4285      2.5240     25.8821      0.2276      0.0677      1.1111
  128      5.5614      3.6422     25.9525      0.0000      0.0000      0.0000
  129      6.2102      0.5116     16.3398      0.1245      0.0438      0.6985
  130      4.9664      1.2468     17.2034      0.0000      0.0000      0.0000
  131      8.4713      4.9824     20.4135      0.2097      0.0728      1.2990
  132      8.6884      3.8726     21.5920      0.1314      0.0711      0.8415
  133     10.1365      1.8217     16.8495      0.0000      0.0000      0.0000
  134      9.4494      0.4854     17.0861      0.1306      0.0406      0.8782
  135      1.5218      0.2980     19.4918      0.0000      0.0000      0.0000
  136      0.9715     10.1155     18.1248      0.0000      0.0000      0.0000
  137     10.0779      4.2856     14.1792      0.0004      1.9176      5.1428
  138      0.8121      5.2946     14.9564      0.1896      0.0806      2.4958
  139      7.9179      7.9512     24.4906      0.0000      0.0000      0.0000
  140      6.4463      8.0888     24.9558      0.0000      0.0000      0.0000
  141      8.3254      4.4368     23.6792      0.2493      0.0399      2.2426
  142      8.0933      2.9014     23.6244      0.0000      0.0000      0.0000
  143      0.3136      8.9018     22.3932      0.0000      0.0000      0.0000
  144      9.5769      7.7548     21.8265      0.0000      0.0000      0.0000
  145      1.7801      5.9254     21.4064      0.1034      0.0428      1.1315
  146      1.3303      7.3489     21.5143      0.0000      0.0000      0.0000
  147      6.7435      7.2069     22.9262      0.2219      0.0589      1.1683
  148      5.3958      7.2936     21.8366      0.0000      0.0000      0.0000
  149      5.8585      3.9403     21.3356      0.0000      0.0000      0.0000
  150      5.6842      5.4941     21.6018      0.0004      2.1351      0.3186
  151      5.2205      6.2263     18.5775      0.0001      1.9266      0.0327
  152      5.2881      4.9536     19.6032      0.2490      0.0782      1.3194
  153      8.3852      2.2365     13.3709      0.0002      2.3078     17.8016
  154      9.3559      1.4554     14.2288      0.0000      0.0000      0.0000
  155      1.6832      3.7173     23.0934      0.0000      0.0000      0.0000
  156      0.1734      3.6357     23.7417      0.0000      0.0000      0.0000
  157      2.6067      2.6505     18.6244      0.0000      0.0000      0.0000
  158      3.4400      3.9874     18.2940      0.0000      0.0000      0.0000
  159      6.3479      8.3032     18.6751      0.0000      0.0000      0.0000
  160      4.7623      8.8288     18.3313      0.0000      0.0000      0.0000
  161      7.0812      0.4983     14.1874      0.0007      2.0460     10.8983
  162      5.6990      9.9376     14.2934      0.0005      2.0667     58.4454
  163      0.2708      4.0460     18.2821      0.0000      0.0000      0.0000
  164     10.1037      4.2476     19.9228      0.3381      0.1121      1.5155
  165      3.2289      0.4604     22.9538      0.0000      0.0000      0.0000
  166      3.9279      9.7630     21.8414      0.0000      0.0000      0.0000
  167      0.3246      5.8686     26.1464      0.3098      0.0792      2.4672
  168      0.5695      5.6509     24.6851      0.0000      0.0000      0.0000
  169      8.1933      6.9977     19.5950      0.0000      0.0000      0.0000
  170      7.5359      6.8945     21.0230      0.0000      0.0000      0.0000
  171      6.4832      2.1483     25.1882      0.0000      0.0000      0.0000
  172      7.4640      0.9237     24.6546      0.1381      0.0599      0.7148
  173      8.1505      0.5476     19.1618      0.0000      0.0000      0.0000
  174      7.1891      0.3510     17.9674      0.0000      0.0000      0.0000
  175      8.4897      8.7717     18.2000      0.2772      0.0475      1.0825
  176      8.3776      7.7810     16.9975      0.0000      0.0000      0.0000
  177      0.5249      9.3600     13.7979      0.0004      2.0531    122.0050
  178      0.7685     10.1371     15.2102      0.0000      0.0000      0.0000
  179      8.6878      3.4887     17.1467      0.2734      0.0696      1.5890
  180     10.0120      3.7365     16.2392      0.0000      0.0000      0.0000
  181      8.3356      2.3920     19.9877      0.3371      0.0292      2.3406
  182      7.1845      1.7780     20.9677      0.2983      0.0228      1.5032
  183      1.0157      8.9302     26.3796      0.1169      0.0627      0.8415
  184      0.6740      7.6832     25.3583      0.1734      0.0869      0.7679
  185      0.7219      5.4876     18.9992      0.2720      0.1034      1.1192
  186     10.1411      7.2814     18.2100      0.0000      0.0000      0.0000
  187      7.3368      5.6798     25.4391      0.2379      0.0731      1.7034
  188      8.3965      4.4953     25.8773      0.0000      0.0000      0.0000
  189      5.3830      5.7449     14.4731      0.0001      2.4582      1.3521
  190      6.2755      4.8760     15.5104      0.0000      0.0000      0.0000
  191      2.7649      2.9360     16.0746      0.0000      0.0000      0.0000
  192      2.0427      3.1580     14.6765      0.2004      0.0670     11.6458
  193      2.1794      2.8893     25.3086      0.0000      0.0000      0.0000
  194      2.7589      1.4777     25.3672      0.0000      0.0000      0.0000
  195      6.8086      8.5509     26.8881      1.0114      0.2556      4.8813
  196      9.0033      8.9641     27.7896      1.2644      0.4537      5.6370
  197      1.2955      7.2849     19.0215      0.0000      0.0000      0.0000
  198      3.7938      5.3972     27.0242      3.3192      0.2457     10.2243
  199      5.8322      9.2530     26.8040      3.6121      0.1865     10.3305
 --------------------------------------------------------------------------------
    VACUUM CHARGE:               0.0000
    VACUUM VOLUME:               0.0000
    NUMBER OF ELECTRONS:       935.0040
